affiliate_id_18,function,title,role,management_level,role_level,role_imputed
a0d3300000FmSnvAAF,Technology / Systems,,Senior System Engineer,Manages self/projects - 1,Mid-level (5-7 years),Senior System Engineer
a0d400000058gpgAAA,Policy / Advocacy,,Program Examiner,Manages self/projects - 1,,Program Examiner
a0d4y00000IhJnOAAV,Other,Adjunct Professor,,Manages function(s) - 4,,Adjunct Professor
a0d40000008PKT0AAO,Academics (Teaching & Learning),,Manager of Teacher Recruitment and Support?,,,Manager of Teacher Recruitment and Support?
a0df300000GNE4JAAX,Data / Analytics / Research,"Senior Education Specialist, Consultant",,Manages self/projects - 1,,"Senior Education Specialist, Consultant"
a0d3300000GaBczAAF,Academics (Teaching & Learning),Field Instructor,,Manages self/projects - 1,Junior-level (0-3 years),Field Instructor
a0d3300000GcM7iAAF,Other,Benefits Outreach Specialist,,Manages self/projects - 1,Junior to Mid-level (3-5 years),Benefits Outreach Specialist
a0d3300000FduBzAAJ,Academics (Teaching & Learning),,Social Studies Lead Teacher,Manages others - 2,Senior-level (10+ years),Social Studies Lead Teacher
a0dRi000001c9uXIAQ,Strategy and Planning,,Chief of Staff and Director of US Programs Office of the President,,Senior-level (10+ years),Chief of Staff and Director of US Programs Office of the President
a0d3300000F5gMUAAZ,,,,Manages others - 2,,
a0dRi0000028WftIAE,Data / Analytics / Research,Technology Consultant,,Manages self/projects - 1,,Technology Consultant
a0d3300000EXNIyAAP,Academics (Teaching & Learning),,Teacher,Manages self/projects - 1,,Teacher
a0d40000000x81BAAQ,General Management,,Director of Technology,,,Director of Technology
a0d40000000x9YuAAI,,,MBA Career Specialist,,,MBA Career Specialist
a0d40000009JTDRAA4,Legal Services,,Lead Elementary Counseling Specialist,Manages self/projects - 1,,Lead Elementary Counseling Specialist
a0df300000HH5MPAA1,Operations,Intern,,Manages self/projects - 1,,Intern
a0d3300000GTCTxAAP,Data / Analytics / Research,Social Enterprise Fellow,,Manages others - 2,Mid-level (5-7 years),Social Enterprise Fellow
a0d3300000EXO6LAAX,Academics (Teaching & Learning),,,Manages self/projects - 1,,
a0d3300000Gd6tEAAR,Data / Analytics / Research,Senior Associate Analyst-Analytics Delivery,,Manages self/projects - 1,Junior to Mid-level (3-5 years),Senior Associate Analyst-Analytics Delivery
a0d3300000GThAtAAL,Policy / Advocacy,IU SPEA AMeriCorps VISTA Fellow,,Manages a group - 5,Junior-level (0-3 years),IU SPEA AMeriCorps VISTA Fellow
a0d40000009KqpbAAC,General Management,,Executive Chairman,,,Executive Chairman
a0d3300000GSi0RAAT,Academics (Teaching & Learning),ESY Paraeducator,,Manages self/projects - 1,Mid-level (5-7 years),ESY Paraeducator
a0d3300000GV4NwAAL,General Management,Regional Operations Manager,,Manages managers - 3,Mid to Senior-level (7-10 years),Regional Operations Manager
a0d4y00000IL7yaAAD,Human Capital / Human Resources,HR Generalist,,Manages self/projects - 1,,human resources Generalist
a0d40000008PKIfAAO,General Management,,President,,,President
a0d3300000EXXeYAAX,Academics (Teaching & Learning),,English Co-Teacher,,,English Co-Teacher
a0d3300000FmSGGAA3,Operations,,Field Auditor,Manages self/projects - 1,Junior to Mid-level (3-5 years),Field Auditor
a0dRi000002N6WbIAK,Marketing / Communications / External Relations,Marketing & Communitcations Manager,,Manages self/projects - 1,,Marketing & Communitcations Manager
a0d3300000GI21BAAT,General Management,COO,,Manages organization - 6,Senior-level (10+ years),chief operating officer
a0d4y00000FxkNaAAJ,General Management,"Chief of Staff, Citi Mumbai Site Head – Strategy and Business Planning",,Manages self/projects - 1,,"Chief of Staff, Citi Mumbai Site Head – Strategy and Business Planning"
a0d3300000GaO7TAAV,Academics (Teaching & Learning),Synthetic Biology Instructor,,Manages self/projects - 1,Junior-level (0-3 years),Synthetic Biology Instructor
a0d3300000G4DBxAAN,Academics (Teaching & Learning),History Teacher,,Manages self/projects - 1,Junior-level (0-3 years),History Teacher
a0df300000EqBiMAAV,Finance / Budgeting / Accounting,Financial Services Representative,,Manages self/projects - 1,,Financial Services Representative
a0d40000006Ip9HAAS,General Management,,Director of Operations,,,Director of Operations
a0d3300000FdLgKAAV,Legal Services,,Attorney,Manages others - 2,Mid-level (5-7 years),Attorney
a0df300000HOfYtAAL,,,Ph.D. Candidate in Sociology & Social Policy,,,Ph.D. Candidate in Sociology & Social Policy
a0df300000H0XZjAAN,Program and Project Management,Program Manager,,Manages organization - 6,,Program Manager
a0d3300000EXFv6AAH,Technology / Systems,,Strategic Data Fellow,,,Strategic Data Fellow
a0d4y00000Fxd2sAAB,Operations,Product Operations Lead,,Manages a group - 5,,Product Operations Lead
a0d3300000GdQfIAAV,Strategy and Planning,Assistant Vice President Product Management,,Manages others - 2,Mid-level (5-7 years),Assistant Vice President Product Management
a0df300000HOi3oAAD,,,"Advisor, Foundation Relations",,,"Advisor, Foundation Relations"
a0d3300000EWHqJAAX,Academics (Teaching & Learning),,"Grade Team Leader, Teacher",Manages others - 2,,"Grade Team Leader, Teacher"
a0d3300000EXa9QAAT,Legal Services,,Attorney,,,Attorney
a0d3300000FYS7fAAH,Academics (Teaching & Learning),,Teacher,Manages self/projects - 1,Junior to Mid-level (3-5 years),Teacher
a0d3300000EXPTCAA5,Human Capital / Human Resources,,,Manages others - 2,,
a0d3300000EXWZgAAP,Operations,,SVP Regional Operations,,,senior vice president Regional Operations
a0dRi000002idULIAY,Program and Project Management,Program Analyst,,Manages self/projects - 1,,Program Analyst
a0d3300000GctQOAAZ,Academics (Teaching & Learning),5th/6th Grade Social Studies/Science Teacher,,Manages others - 2,Junior-level (0-3 years),5th/6th Grade Social Studies/Science Teacher
a0df300000HgBXOAA3,Data / Analytics / Research,Impact Communications Coordinator,,Manages self/projects - 1,,Impact Communications Coordinator
a0d3300000FtGUyAAN,Academics (Teaching & Learning),Lead Instructor (Summer0,,Manages others - 2,Mid-level (5-7 years),Lead Instructor (Summer0
a0d3300000GbDfdAAF,Operations,Brownsville After-School  Enrichment (BASE) Program Coordinator,,Manages function(s) - 4,Mid-level (5-7 years),Brownsville After-School  Enrichment (BASE) Program Coordinator
a0d3300000EXZHLAA5,General Management,,Program Coordinator & Senior Fellow - Center for Writing and Scholarship,,,Program Coordinator & Senior Fellow - Center for Writing and Scholarship
a0d3300000FYSryAAH,Program and Project Management,,Senior Manager,Manages others - 2,Senior-level (10+ years),Senior Manager
a0dRi000000zV5JIAU,Operations,COO & Partner,,Manages organization - 6,,chief operating officer & Partner
a0df300000H1wz0AAB,Consulting,Senior Consultant,,Manages others - 2,,Senior Consultant
a0d3300000EXPfgAAH,Human Capital / Human Resources,,,Manages function(s) - 4,,
a0d400000091gfqAAA,School Leadership / Administration,,Director Knowledge Management,Manages others - 2,,Director Knowledge Management
a0d3300000GcrTzAAJ,Academics (Teaching & Learning),"Teach for America Corps, Visual Art Teacher",,Manages self/projects - 1,Junior to Mid-level (3-5 years),"Teach for America Corps, Visual Art Teacher"
a0d3300000FfaJ6AAJ,School Leadership / Administration,,Assoc. VP of Student Dev.,Manages managers - 3,Mid to Senior-level (7-10 years),Assoc. vice president of Student Dev.
a0d40000008tsWpAAI,Strategy and Planning,,Financial Analyst,Manages self/projects - 1,,Financial Analyst
a0d40000008PKJWAA4,General Management,,Co-Director for Operations at Excellence Girls,,,Co-Director for Operations at Excellence Girls
a0d3300000FVczVAAT,Academics (Teaching & Learning),,Teacher/Team Leader,Manages others - 2,Senior-level (10+ years),Teacher/Team Leader
a0d40000000xJOQAA2,Data / Analytics / Research,,Director of Research and Development,,,Director of Research and Development
a0d3300000Fe2R4AAJ,Program and Project Management,,"Intercultural Program Coordinator, Summer",Manages others - 2,Junior-level (0-3 years),"Intercultural Program Coordinator, Summer"
a0d40000000zeOuAAI,Development / Grant-making,,"Manager, Digital Analysis (Promoted to Director of Digital Analysis)",,,"Manager, Digital Analysis (Promoted to Director of Digital Analysis)"
a0d40000007CmotAAC,General Management,,Project Coordinator,,,Project Coordinator
a0d3300000EXXjuAAH,Academics (Teaching & Learning),,Paraeducator,,,Paraeducator
a0d40000006Ir9sAAC,Technology / Systems,,Director of Educational Technology,Manages function(s) - 4,,Director of Educational Technology
a0df300000GNNSUAA5,Program and Project Management,New Routes Adolescence Coordinator,,Manages a group - 5,,New Routes Adolescence Coordinator
a0df300000H19l4AAB,Data / Analytics / Research,Education Disparities Research and Strategy Fellow,,Manages function(s) - 4,,Education Disparities Research and Strategy Fellow
a0d3300000EVpj5AAD,Academics (Teaching & Learning),,Science Teacher,Manages self/projects - 1,Junior-level (0-3 years),Science Teacher
a0df300000H9OD4AAN,Program and Project Management,Project Manager,,Manages others - 2,,Project Manager
a0df300000HXijLAAT,Academics (Teaching & Learning),"English Teacher, West Jefferson High School",,Manages self/projects - 1,,"English Teacher, West Jefferson High School"
a0dRi0000023BYrIAM,Data / Analytics / Research,Research Associate Intern,,Manages self/projects - 1,,Research Associate Intern
a0df300000H9O0oAAF,Program and Project Management,Monitoring and Evaluation Specialist/Small Grants Coordinator,,Manages others - 2,,Monitoring and Evaluation Specialist/Small Grants Coordinator
a0d3300000EXZO3AAP,Program and Project Management,,Project Manager,,,Project Manager
a0d3300000EGlRyAAL,,,Graduate School Fellow,,,Graduate School Fellow
a0dRi000001vyzlIAA,Data / Analytics / Research,Pharmacoeconomics Analyst,,Manages others - 2,,Pharmacoeconomics Analyst
a0d40000001gXCmAAM,General Management,,"Vice President, Programs",,,"Vice President, Programs"
a0d3300000EXRS4AAP,General Management,,Evaluation Coordinator,Manages self/projects - 1,,Evaluation Coordinator
a0d400000056jf2AAA,Finance / Budgeting / Accounting,,Senior Consulting Associate,,,Senior Consulting Associate
a0d3300000GbpPmAAJ,Strategy and Planning,Special Assistant to the Chief Information Officer,,Manages self/projects - 1,Mid to Senior-level (7-10 years),Special Assistant to the Chief Information Officer
a0df300000H25ApAAJ,Academics (Teaching & Learning),K-12 English teacher,,Manages self/projects - 1,,K-12 English teacher
a0df300000GN2QcAAL,Other,AmeriCorps Member,,Manages self/projects - 1,,AmeriCorps Member
a0d3300000GG458AAD,Academics (Teaching & Learning),Math Teacher,,Manages self/projects - 1,Junior-level (0-3 years),Math Teacher
a0d3300000Eipb0AAB,Consulting,TEC Consultant - Director of Strategic Development,,Manages managers - 3,,TEC Consultant - Director of Strategic Development
a0d400000056LBmAAM,Human Capital / Human Resources,,Manager of Finance and Human Resources,,,Manager of Finance and Human Resources
a0d3300000FYS99AAH,Academics (Teaching & Learning),,Director of ESL Programs,Manages others - 2,Junior to Mid-level (3-5 years),Director of ESL Programs
a0df300000HXf2GAAT,,,Senior Associate Marketing Manager,,,Senior Associate Marketing Manager
a0df300000HXUBEAA5,Academics (Teaching & Learning),Art teacher,,Manages self/projects - 1,,Art teacher
a0df300000HH5FEAA1,Academics (Teaching & Learning),Cognitive Skills Coach & Executive/Marketing Assistant,,Manages self/projects - 1,,Cognitive Skills Coach & Executive/Marketing Assistant
a0d3300000EXURNAA5,Academics (Teaching & Learning),,Instructional Coach/Bilingual Specialist/Reading interventionist,,,Instructional Coach/Bilingual Specialist/Reading interventionist
a0df300000H0V0NAAV,Academics (Teaching & Learning),Science Department Lead and Teacher,,Manages others - 2,,Science Department Lead and Teacher
a0d3300000GTMVzAAP,Strategy and Planning,"Manager, Medicaid Network",,Manages self/projects - 1,Mid to Senior-level (7-10 years),"Manager, Medicaid Network"
a0d3300000EXQOKAA5,Human Capital / Human Resources,,,Manages self/projects - 1,,
a0dRi000002R2KjIAK,Academics (Teaching & Learning),Classroom Teacher,,Manages a group - 5,,Classroom Teacher
a0d3300000Fg0AUAAZ,Academics (Teaching & Learning),Special Education Teacher,,Manages others - 2,Mid-level (5-7 years),Special Education Teacher
a0dRi000002WYNBIA4,Academics (Teaching & Learning),Guest Teacher,,Manages self/projects - 1,,Guest Teacher
a0d3300000EWHveAAH,Marketing / Communications / External Relations,,Product Marketing Engineer,Manages self/projects - 1,,Product Marketing Engineer
a0df300000GEyquAAD,Data / Analytics / Research,Program Analyst,,Manages self/projects - 1,,Program Analyst
a0dRi000004DOjlIAG,Academics (Teaching & Learning),Relay Graduate Teaching Fellow,,Manages self/projects - 1,,Relay Graduate Teaching Fellow
a0d3300000GapIEAAZ,Operations,Operations Coordinator,,Manages self/projects - 1,Junior-level (0-3 years),Operations Coordinator
a0dRi000001IaR3IAK,Program and Project Management,Senior Program Manager/Housing Community Developer IV,,Manages function(s) - 4,,Senior Program Manager/Housing Community Developer IV
a0d40000008sJwxAAE,,,Ed Pioneer Fellow,,,Ed Pioneer Fellow
a0d3300000FeFXqAAN,Data / Analytics / Research,,Management Analyst,Manages function(s) - 4,Junior to Mid-level (3-5 years),Management Analyst
a0d3300000EXOuRAAX,Data / Analytics / Research,,Senior Analyst,Manages others - 2,,Senior Analyst
a0df300000H0IH7AAN,Academics (Teaching & Learning),Individualized Learning Specialist,,Manages function(s) - 4,,Individualized Learning Specialist
a0d3300000GRfXSAA1,Program and Project Management,"Education Director, High School",,Manages self/projects - 1,Mid to Senior-level (7-10 years),"Education Director, High School"
a0d3300000FYVhnAAH,Academics (Teaching & Learning),,Tutor,Manages self/projects - 1,Junior-level (0-3 years),Tutor
a0d3300000FeFSvAAN,Data / Analytics / Research,,Project Manager,Manages others - 2,Mid to Senior-level (7-10 years),Project Manager
a0df300000HOfGbAAL,,,"General Manager, Fleet Strategy",,,"General Manager, Fleet Strategy"
a0d3300000EXZkaAAH,Human Capital / Human Resources,,Human Resources Intern,,,Human Resources Intern
a0d3300000EXOcFAAX,Strategy and Planning,,,Manages self/projects - 1,,
a0d4y00000FxnZzAAJ,Consulting,Community Development Coordinator,,Manages managers - 3,,Community Development Coordinator
a0d3300000GaukbAAB,Academics (Teaching & Learning),Elementary School Literacy Teacher,,Manages others - 2,Junior-level (0-3 years),Elementary School Literacy Teacher
a0d40000000xaSwAAI,General Management,,Chief Executive Officer,,,Chief Executive Officer
a0df300000HOfWgAAL,,,growth-strategy editor,,,growth-strategy editor
a0d3300000FYSGaAAP,Data / Analytics / Research,,Data Support Analyst,Manages others - 2,Junior-level (0-3 years),Data Support Analyst
a0d3300000GaOMvAAN,Operations,Admissions Operations Manager,,Manages function(s) - 4,Junior to Mid-level (3-5 years),Admissions Operations Manager
a0d3300000EXTLoAAP,Academics (Teaching & Learning),,Instructor,,,Instructor
a0d3300000GaPxnAAF,Legal Services,Paralegal,,Manages self/projects - 1,Junior to Mid-level (3-5 years),Paralegal
a0d3300000GVbkmAAD,Human Capital / Human Resources,Recruitment Coordinator,,Manages function(s) - 4,Junior to Mid-level (3-5 years),Recruitment Coordinator
a0d3300000EXZqWAAX,General Management,,"Director, The Philadelphia Center for Arts and Technology",,,"Director, The Philadelphia Center for Arts and Technology"
a0dRi000001kwwTIAQ,Data / Analytics / Research,Data Scientist Trainee,,Manages self/projects - 1,,Data Scientist Trainee
a0dRi000001kxnhIAA,,,"Senior Advisor, Transformation Strategy",,,"Senior Advisor, Transformation Strategy"
a0d3300000FALZyAAP,School Leadership / Administration,,Superintendent,,,Superintendent
a0d4y00000FxfKoAAJ,Consulting,Engagement Manager,,Manages others - 2,,Engagement Manager
a0d3300000GasO4AAJ,School Leadership / Administration,Social Justice & Equity Seminar Leader,,Manages others - 2,Mid-level (5-7 years),Social Justice & Equity Seminar Leader
a0df300000H1I2mAAF,General Management,Junior Partner,,Manages others - 2,,Junior Partner
a0dRi00000086g9IAA,Program and Project Management,Project Manager,,Manages self/projects - 1,,Project Manager
a0dRi000001vV3JIAU,Data / Analytics / Research,"Honors Thesis Researcher, Incoming Graduate Researcher",,Manages self/projects - 1,,"Honors Thesis Researcher, Incoming Graduate Researcher"
a0d3300000EXE6fAAH,Academics (Teaching & Learning),Teacher,,Manages self/projects - 1,Mid to Senior-level (7-10 years),Teacher
a0df300000H2IuQAAV,Consulting,Senior Associate,,Manages others - 2,,Senior Associate
a0dRi0000012VojIAE,Academics (Teaching & Learning),"Kindergarten Teacher, Summer School Director",,Manages others - 2,,"Kindergarten Teacher, Summer School Director"
a0d3300000G82TIAAZ,Academics (Teaching & Learning),part time faculty,,Manages self/projects - 1,Junior-level (0-3 years),public relations time faculty
a0d40000007CrkkAAC,Academics (Teaching & Learning),,Founding Teacher,,,Founding Teacher
a0d3300000EXPXlAAP,Academics (Teaching & Learning),,"Writer/Editor, International Learning Materials",Manages self/projects - 1,,"Writer/Editor, International Learning Materials"
a0d3300000EVrGaAAL,Human Capital / Human Resources,,Director of Observation and Feedback,Manages others - 2,Mid-level (5-7 years),Director of Observation and Feedback
a0d4y00000HioCgAAJ,,,Chief Program Director,,,Chief Program Director
a0d3300000EXT0bAAH,Technology / Systems,,Programmer Analyst,,,Programmer Analyst
a0d40000003MHVZAA4,General Management,,Manager,,,Manager
a0d3300000GV2IBAA1,Marketing / Communications / External Relations,Business Development Manager; Instructor,,Manages a group - 5,Senior-level (10+ years),Business Development Manager; Instructor
a0d3300000FdscKAAR,Operations,Manager,,Manages others - 2,Junior to Mid-level (3-5 years),Manager
a0df300000H9Px3AAF,Academics (Teaching & Learning),"Latin Instructor, Academic Advisor",,Manages a group - 5,,"Latin Instructor, Academic Advisor"
a0d3300000GStPCAA1,Operations,Process Engineer,,Manages others - 2,Junior to Mid-level (3-5 years),Process Engineer
a0df300000H1LyUAAV,Data / Analytics / Research,Corporate Foundation Relations Intern,,Manages self/projects - 1,,Corporate Foundation Relations Intern
a0d4y00000H7ULZAA3,Operations,"Manager, Student Services",,Manages others - 2,,"Manager, Student Services"
a0df300000HOhwIAAT,,,"Manager, Equity & Diversity",,,"Manager, Equity & Diversity"
a0dRi000002a60vIAA,Data / Analytics / Research,"Research, Evaluation & Learning Officer",,Manages self/projects - 1,,"Research, Evaluation & Learning Officer"
a0d3300000FYSrMAAX,Program and Project Management,,Expanded Learning Opportunities Associate,Manages others - 2,Junior to Mid-level (3-5 years),Expanded Learning Opportunities Associate
a0d3300000Gbo3bAAB,Development / Grant-making,Business Development Research Associate,,Manages a group - 5,Junior to Mid-level (3-5 years),Business Development Research Associate
a0dRi000001sTJ0IAM,Data / Analytics / Research,RESEARCH CONSULTANT,,Manages self/projects - 1,,RESEARCH CONSULTANT
a0d3300000EVoXjAAL,Legal Services,,Supervising Paralegal,Manages others - 2,Mid-level (5-7 years),Supervising Paralegal
a0df300000H0ItXAAV,Marketing / Communications / External Relations,Director of External Relations,,Manages self/projects - 1,,Director of External Relations
a0d3300000GaQ2JAAV,Program and Project Management,Research Fellow,,Manages managers - 3,Mid to Senior-level (7-10 years),Research Fellow
